000001.SZ,CNE000000040,1000012612000000,6119020000000000,6119020100000000,b10l000000000000,b10l020000000000,b10l020100000000
000002.SZ,CNE0000000T2,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000004.SZ,CNE0000000Y2,6115000000000000,6115020000000000,6115020100000000,b10i000000000000,b10i010000000000,b10i010200000000
000005.SZ,CNE0000001L7,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010200000000
000006.SZ,CNE000000164,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000007.SZ,CNE0000000P0,6121000000000000,6121010000000000,6121010100000000,b103000000000000,b103030000000000,b103030100000000
000008.SZ,CNE0000001C6,6107000000000000,1000012580000000,6109010600000000,b10a000000000000,b10a040000000000,b10a040100000000
000009.SZ,CNE000000222,6123000000000000,6123010000000000,6123010100000000,b10t000000000000,b10t010000000000,b10t010100000000
000010.SZ,CNE000000156,6106020000000000,1000012551000000,1000012553000000,b107000000000000,b107020000000000,b107020100000000
000011.SZ,CNE000000248,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000012.SZ,CNE0000002R2,6106010000000000,6106010100000000,1000012547000000,b108000000000000,b108030000000000,b108030200000000
000014.SZ,CNE0000003G3,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000016.SZ,CNE0000002T8,6111000000000000,6111020000000000,6111020100000000,b10g000000000000,b10g020000000000,b10g020100000000
000017.SZ,CNE0000002Q4,1000012588000000,1000004612000000,1000012590000000,b10a000000000000,b10a040000000000,b10a040300000000
000019.SZ,CNE000000354,6112000000000000,6112030000000000,6112030400000000,b10j000000000000,b10j020000000000,b10j020400000000
000020.SZ,CNE0000002V4,6108000000000000,1000004583000000,1000004610000000,b10p000000000000,b10p030000000000,b10p030100000000
000021.SZ,CNE000000FK4,1000012601000000,6110010000000000,6110010100000000,b10p000000000000,b10p020000000000,b10p020100000000
000023.SZ,CNE000000834,6106010000000000,6106010400000000,1000012548000000,b108000000000000,b108010000000000,b108010100000000
000025.SZ,CNE0000008N8,1000012588000000,6109020100000000,1000012589000000,b10d000000000000,b10d040000000000,b10d040100000000
000026.SZ,CNE000000875,6114000000000000,6114020000000000,1000004626000000,b109000000000000,b109020000000000,b109020300000000
000027.SZ,CNE000000933,6116000000000000,6116010000000000,6116010100000000,b104000000000000,b104010000000000,b104010100000000
000028.SZ,CNE0000009N6,6115000000000000,6115040000000000,6115040100000000,b10i000000000000,b10i040000000000,b10i040100000000
000029.SZ,CNE0000009X5,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000030.SZ,CNE0000009Z0,1000012588000000,6109030000000000,6109030100000000,b10t000000000000,b10t010000000000,b10t010100000000
000031.SZ,CNE000000BJ5,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000032.SZ,CNE000000BK3,1000012611000000,6110020000000000,6110020200000000,b10p000000000000,b10p020000000000,b10p020100000000
000034.SZ,CNE000000DQ6,6101000000000000,6101040000000000,6101040100000000,b10k000000000000,b10k020000000000,b10k020100000000
000035.SZ,CNE000000FN8,6116000000000000,6116020000000000,6116020100000000,b104000000000000,b104020000000000,b104020100000000
000036.SZ,CNE000000G13,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000037.SZ,CNE000000G62,6116000000000000,6116010000000000,6116010300000000,b104000000000000,b104010000000000,b104010100000000
000038.SZ,CNE000000FR9,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000039.SZ,CNE000000644,6107000000000000,6107050000000000,6107050100000000,b10a000000000000,b10a030000000000,b10a030300000000
000040.SZ,CNE0000000D6,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000042.SZ,CNE000000H53,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000045.SZ,CNE000000H61,6108000000000000,6108040000000000,6108040100000000,b10p000000000000,b10p030000000000,b10p030100000000
000046.SZ,CNE000000123,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000048.SZ,CNE000000HD5,6101000000000000,6101040000000000,6101040100000000,b10k000000000000,b10k020000000000,b10k020100000000
000049.SZ,CNE0000000F1,6108000000000000,1000004583000000,1000004610000000,b10p000000000000,b10p030000000000,b10p030100000000
000050.SZ,CNE000000HT1,6108000000000000,6108040000000000,6108040100000000,b10p000000000000,b10p030000000000,b10p030100000000
000055.SZ,CNE000000JY7,6106020000000000,1000004603000000,1000012562000000,b108000000000000,b108030000000000,b108030200000000
000056.SZ,CNE000000297,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010200000000
000058.SZ,CNE000000NR3,6120000000000000,6120010300000000,1000012596000000,b10n000000000000,b10n010000000000,b10n010200000000
000059.SZ,CNE000000NY9,6103000000000000,6103050000000000,6103050100000000,b101000000000000,b101020000000000,b101020100000000
000060.SZ,CNE000000FS7,6105000000000000,1000012617000000,6105020400000000,b103000000000000,b103020000000000,b103020200000000
000061.SZ,CNE0000008V1,6120000000000000,6120010300000000,1000012597000000,b10e000000000000,b10e010000000000,b10e010200000000
000062.SZ,CNE0000008R9,6120000000000000,6120010300000000,1000012597000000,b10n000000000000,b10n010000000000,b10n010200000000
000063.SZ,CNE000000TK5,1000012611000000,6110020000000000,6110020300000000,b10q000000000000,b10q020000000000,b10q020600000000
000065.SZ,CNE000000VZ9,6106020000000000,1000004603000000,1000012561000000,b107000000000000,b107010000000000,b107010100000000
000066.SZ,CNE000000RL7,1000012601000000,6110010000000000,6110010100000000,b10r000000000000,b10r010000000000,b10r010100000000
000068.SZ,CNE000000QV8,6123000000000000,6123010000000000,6123010100000000,b10p000000000000,b10p030000000000,b10p030100000000
000069.SZ,CNE000000SS0,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010300000000
000070.SZ,CNE000001238,1000012611000000,6110020000000000,6110020300000000,b10q000000000000,b10q020000000000,b10q020700000000
000078.SZ,CNE000000X95,6115000000000000,6115020000000000,6115020100000000,b10i000000000000,b10i030000000000,b10i030100000000
000088.SZ,CNE000000SF7,6117000000000000,6117010000000000,6117010100000000,b10o000000000000,b10o010000000000,b10o010100000000
000089.SZ,CNE000000VK1,6117000000000000,6117040000000000,6117040100000000,b10o000000000000,b10o040000000000,b10o040200000000
000090.SZ,CNE000000F89,6118000000000000,6118010000000000,6118010100000000,b107000000000000,b107010000000000,b107010100000000
000096.SZ,CNE000001410,6103000000000000,6103050000000000,6103050300000000,b101000000000000,b101020000000000,b101020100000000
000099.SZ,CNE0000013Q1,6117000000000000,6117030000000000,6117030100000000,b10o000000000000,b10o040000000000,b10o040100000000
000100.SZ,CNE000001GL8,6111000000000000,6111020000000000,6111020100000000,b10g000000000000,b10g020000000000,b10g020100000000
000150.SZ,CNE0000014D7,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010100000000
000151.SZ,CNE0000014J4,6120000000000000,6120020000000000,6120020100000000,b10e000000000000,b10e020000000000,b10e020100000000
000153.SZ,CNE0000014X5,6115000000000000,6115010000000000,6115010200000000,b10i000000000000,b10i010000000000,b10i010200000000
000155.SZ,CNE0000014Z0,6103000000000000,6103040000000000,6103040100000000,b106000000000000,b106010000000000,b106010100000000
000156.SZ,CNE0000014L0,6122010000000000,1000012604000000,6122040400000000,b10s000000000000,b10s010000000000,b10s010200000000
000157.SZ,CNE000001527,6107000000000000,6107040000000000,6107040200000000,b10a000000000000,b10a010000000000,b10a010100000000
000158.SZ,CNE0000013X7,6113000000000000,6113010000000000,6113010200000000,b10h000000000000,1000009979000000,1000009981000000
000159.SZ,CNE0000014R7,6102000000000000,6102010000000000,6102010200000000,b101000000000000,b101020000000000,b101020400000000
000166.SZ,CNE100002FD4,1000012613000000,6119030000000000,6119030100000000,b10m000000000000,b10m010000000000,b10m010100000000
000301.SZ,CNE0000012K6,6116000000000000,6116010000000000,6116010400000000,b104000000000000,b104010000000000,b104010100000000
000333.SZ,CNE100001QQ5,6111000000000000,6111010000000000,6111010200000000,b10g000000000000,b10g010000000000,b10g010100000000
000338.SZ,CNE1000000D4,1000012588000000,6109030000000000,6109030100000000,b10d000000000000,b10d030000000000,b10d030100000000
000400.SZ,CNE0000007F6,6107010000000000,1000012564000000,1000012565000000,b10b000000000000,b10b020000000000,b10b020200000000
000401.SZ,CNE000000GX5,6106010000000000,6106010200000000,1000012546000000,b108000000000000,b108010000000000,b108010100000000
000402.SZ,CNE000000KT5,6118000000000000,6118010000000000,6118010100000000,b10n000000000000,b10n010000000000,b10n010200000000
000403.SZ,CNE000000F14,6115000000000000,6115020000000000,6115020100000000,b10i000000000000,b10i030000000000,b10i030100000000
000404.SZ,CNE000000KM0,6111000000000000,6111010000000000,6111010500000000,b10g000000000000,b10g010000000000,b10g010100000000
000407.SZ,CNE000000G88,6103000000000000,6103040000000000,6103040300000000,b101000000000000,b101020000000000,b101020400000000
000408.SZ,CNE000000L08,6120000000000000,6120020000000000,6120020100000000,b105000000000000,b105020000000000,b105020300000000
000409.SZ,CNE000000L40,6102000000000000,6102020000000000,6102020100000000,b105000000000000,b105020000000000,b105020200000000
000410.SZ,CNE0000008W9,6107000000000000,6107020000000000,6107020100000000,b10a000000000000,b10a030000000000,b10a030200000000
000411.SZ,CNE0000008D9,6115000000000000,6115040000000000,6115040100000000,b10i000000000000,b10i040000000000,b10i040100000000
000413.SZ,CNE000000578,6108000000000000,6108040000000000,6108040100000000,b10p000000000000,b10p030000000000,b10p030100000000
000415.SZ,CNE0000009B1,1000012613000000,6119010000000000,6119010100000000,b10m000000000000,b10m030000000000,b10m030200000000
000416.SZ,CNE0000009P1,6120000000000000,1000012591000000,1000012594000000,b10e000000000000,b10e010000000000,b10e010100000000
000417.SZ,CNE000000BV0,6120000000000000,1000012591000000,1000012594000000,b10e000000000000,b10e010000000000,b10e010100000000
000419.SZ,CNE000000LL0,6120000000000000,1000012591000000,1000012594000000,b10e000000000000,b10e010000000000,b10e010300000000
000420.SZ,CNE0000008F4,6103000000000000,6103020000000000,6103020300000000,b106000000000000,b106020000000000,b106020400000000
000421.SZ,CNE0000003L3,6123000000000000,6123010000000000,6123010100000000,b10t000000000000,b10t010000000000,b10t010100000000
000422.SZ,CNE0000009C9,6103000000000000,6103040000000000,6103040100000000,b106000000000000,b106010000000000,b106010100000000
