ticker,name,ISIN,申万行业分类,申万行业代码,中信行业分类,中信行业代码,上证50,沪深300,中证500,市值,申万一级名称,申万二级名称
000001.SZ,平安银行,CNE000000040,银行-银行Ⅱ-银行Ⅲ,1000012612000000-6119020000000000-6119020100000000,银行--全国性股份制银行Ⅱ--全国性股份制银行Ⅲ,b10l000000000000-b10l020000000000-b10l020100000000,否,是,否,3784.154049,银行,银行Ⅱ
000002.SZ,万科A,CNE0000000T2,房地产-房地产开发Ⅱ-房地产开发Ⅲ,6118000000000000-6118010000000000-6118010100000000,房地产--房地产开发和运营--住宅物业开发,b10n000000000000-b10n010000000000-b10n010100000000,否,是,否,3594.526343,房地产,房地产开发Ⅱ
000004.SZ,国农科技,CNE0000000Y2,医药生物-化学制药-化学制剂,6115000000000000-6115010000000000-6115010200000000,医药--化学制药--化学制剂,b10i000000000000-b10i010000000000-b10i010200000000,否,否,否,47.37010338,医药生物,化学制药
000005.SZ,世纪星源,CNE0000001L7,公用事业-环保工程及服务Ⅱ-环保工程及服务Ⅲ,6116000000000000-6116020000000000-6116020100000000,电力及公用事业--环保及公用事业--环保及水务,b104000000000000-b104020000000000-1000034695000000,否,否,否,27.52195789,公用事业,环保工程及服务Ⅱ
000006.SZ,深振业A,CNE000000164,房地产-房地产开发Ⅱ-房地产开发Ⅲ,6118000000000000-6118010000000000-6118010100000000,房地产--房地产开发和运营--住宅物业开发,b10n000000000000-b10n010000000000-b10n010100000000,否,否,否,76.00472109,房地产,房地产开发Ⅱ
000007.SZ,全新好,CNE0000000P0,商业贸易-商业物业经营-一般物业经营,6120000000000000-6120010300000000-1000012596000000,房地产--房地产开发和运营--非住宅物业开发和运营,b10n000000000000-b10n010000000000-b10n010200000000,否,否,否,32.87791938,商业贸易,商业物业经营
000008.SZ,神州高铁,CNE0000001C6,机械设备-运输设备Ⅱ-铁路设备,6107000000000000-1000012580000000-6109010600000000,机械--运输设备--铁路交通设备,b10a000000000000-b10a040000000000-b10a040100000000,否,否,是,76.19379248,机械设备,运输设备Ⅱ
000009.SZ,中国宝安,CNE000000222,综合-综合Ⅱ-综合Ⅲ,6123000000000000-6123010000000000-6123010100000000,综合--综合Ⅱ--综合Ⅲ,b10t000000000000-b10t010000000000-b10t010100000000,否,否,是,193.183126,综合,综合Ⅱ
000010.SZ,美丽生态,CNE000000156,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,6106020000000000-1000012551000000-1000012553000000,建筑--建筑施工--园林工程,b107000000000000-b107010000000000-1000034719000000,否,否,否,33.20411588,建筑装饰,园林工程Ⅱ
000011.SZ,深物业A,CNE000000248,房地产-房地产开发Ⅱ-房地产开发Ⅲ,6118000000000000-6118010000000000-6118010100000000,房地产--房地产开发和运营--住宅物业开发,b10n000000000000-b10n010000000000-b10n010100000000,否,否,否,79.74200251,房地产,房地产开发Ⅱ
